,Model,train_rmse,valid_rmse,test_rmse,train_time,epoch,batch,neuron
0,CBGRU,0.05136834574287821,0.05528149731021989,0.05575067733840528,8137.01,50,1024,50
0,CBGRU,0.058491107370524806,0.05787370989235136,0.058621761412829314,9687.59,50,1024,50
0,CBGRU,0.06832960599842998,0.07000219840622297,0.06933290135349425,9568.17,50,1024,50
0,CBGRU,0.08642350157569559,0.08758246890883338,0.08876492366911547,9018.1,50,1024,50
0,CBGRU,2.60072870351594,2.600666526110953,2.6015555016153,8889.15,50,1024,50
0,CBGRU,0.060856433659788475,0.06351235952145416,0.062254174120950655,8991.8,50,1024,50
0,CBGRU,0.08336729934121803,0.08479982257914313,0.08408058007471057,9494.62,50,1024,50
0,CBGRU,4.910756147303966,4.910232378820256,4.914830566406196,9566.03,50,1024,50
0,CBGRU,0.0592652740457938,0.061881788442218845,0.06096657477953804,10560.92,50,1024,50
0,CBGRU,0.051474886236539286,0.05457432615720157,0.05530511098028268,10487.13,50,1024,50
0,CBGRU,0.052575282307854944,0.05619505578129151,0.05713711741376449,9837.32,50,1024,50
0,CBGRU,0.07779444997666166,0.07913306457328972,0.07896946827413999,8074.09,50,1024,50
0,CBGRU,0.08980326585678636,0.09133033581645582,0.08899202840661162,8075.68,50,1024,50
0,CBGRU,0.09515698003763448,0.09637836943961883,0.09604957345306414,8183.78,50,1024,50
0,CBGRU,0.06336190275445586,0.06560849402769234,0.0642673546072789,8222.67,50,1024,50
0,CBGRU,0.08436624962321727,0.08584651790052138,0.08458801391669224,8207.16,50,1024,50
0,CBGRU,0.13357105513113451,0.1349492358442559,0.13039828994104505,8180.93,50,1024,50
0,CBGRU,0.06189356150327079,0.06410044876347515,0.06274106379667126,8260.16,50,1024,50
0,CBGRU,0.052245410554990525,0.05503434965704305,0.055410747137462364,8266.38,50,1024,50
0,CBGRU,0.05929265218527634,0.06380687019521272,0.06390991785947663,8301.45,50,1024,50
0,CBGRU,0.06893376031266742,0.07055811990121381,0.07000013444342415,8140.99,50,1024,50
0,CBGRU,0.08287561786675486,0.08427434259406488,0.08390743518298688,7224.06,50,1024,50
0,CBGRU,0.09846305809421163,0.09981955809147182,0.09800958361624582,7260.86,50,1024,50
0,CBGRU,0.061548928315209195,0.0639803322034052,0.06263042909694277,7518.16,50,1024,50
0,CBGRU,0.08357260828277614,0.08487375666356395,0.08523409117231931,7164.88,50,1024,50
0,CBGRU,0.1368291190873404,0.13811941863783742,0.1341587123901113,7235.64,50,1024,50
0,CBGRU,0.05958867121770349,0.06221392373267327,0.06102640779873104,7508.58,50,1024,50
