,Model,train_rmse,valid_rmse,48h_pred_rmse,train_time
0,GRU_LSTM,0.069621994,0.069489422,0.420135407,54140.05
0,LSTM_LSTM,0.066672941,0.070191915,0.390479621,39217.14
0,GRU,0.069790313,0.071057204,0.314062853,23967.85
0,GRU_GRU,0.068877666,0.071816884,1.121182009,50445.09
0,CBLSTM,0.071207912,0.072521788,0.390402975,12803.33
0,LSTM_GRU,0.065299551,0.072716584,0.52274654,49238.39
0,DFS,0.073026742,0.073110855,0.432705161,8856.85
0,CB_2GRU,0.07601148,0.07491425,0.431204479,25493.74
0,DFS_2LSTM,0.073610221,0.075504593,0.390411717,13788.9
0,LSTM,0.077882169,0.077758481,0.396774884,19213.33
0,DFS_GRU,0.083853512,0.082528873,0.475776834,10332.86
0,CBGRU,0.105395667,0.102667601,0.511248032,14635.78
