,Model,train_rmse,valid_rmse,12h_pred_rmse,train_time
0,LSTM,0.0429092597539313,0.09397021924670222,0.08917401016496569,5855.86
0,GRU,0.0934987075060987,0.0934761300010194,0.10122107943406623,7022.68
0,LSTM_LSTM,0.04611757401742161,0.04808590323193839,0.07277502930879169,11206.68
0,GRU_GRU,0.04754371455902283,0.05424609318696321,3.7687761490012797,13676.99
0,LSTM_GRU,0.04651128974448293,0.046877426343360826,0.24249216143277555,12385.49
0,GRU_LSTM,0.05125589032326889,0.04906148314408264,0.09583163403813898,12122.83
0,DFS,0.05863305015273914,0.0607524574248223,0.07447373351572133,2498.38
0,CBGRU,0.060280611644711914,0.05883671602887942,0.08525003303211659,3291.26
0,DFS_GRU,0.05855780893620079,0.060045879778664525,0.0749455421987782,2499.18
0,DFS_2LSTM,0.05772935037368505,0.06151844316203342,0.08121762490233418,3111.74
0,CB_2GRU,0.05804731680944956,0.0598882397609061,0.091268558047373,5335.39
0,CBLSTM,0.05790386757751732,0.05803535963841916,0.0780674442008948,3189.55
