,Model,train_rmse,valid_rmse,test_rmse,train_time,epoch,batch,neuron
0,DFS,0.051040302167172084,0.0542917603984008,0.05626293084059509,6160.77,50,1024,50
0,DFS,0.052711725528871524,0.056035430073629225,0.05669123169653931,7416.15,50,1024,50
0,DFS,0.07565932822282864,0.07706484208089898,0.07682490944048259,7380.83,50,1024,50
0,DFS,0.07670653142435209,0.08110066140569658,0.08080081929562263,7266.63,50,1024,50
0,DFS,0.5036112910595352,0.5042804289826543,0.5005331368601278,7025.96,50,1024,50
0,DFS,0.0629187181164335,0.06515638578068988,0.06377065055457293,6929.07,50,1024,50
0,DFS,0.08432595575038639,0.08560575382227281,0.0860454903885989,6591.09,50,1024,50
0,DFS,0.6179457343122272,0.6174830328131165,0.6228931357413117,7177.48,50,1024,50
0,DFS,0.06077540783034398,0.06304937261949561,0.061736942352951685,7192.03,50,1024,50
0,DFS,0.05387248045196614,0.05689482258247479,0.056626436648715785,7484.88,50,1024,50
0,DFS,0.05467545853803379,0.058740227513381586,0.05885159336865214,7432.59,50,1024,50
0,DFS,0.0813392762717602,0.08275957434970348,0.08242484135088653,8481.25,50,1024,50
0,DFS,0.06801807188194357,0.06805252137041144,0.06720100792373633,7987.19,50,1024,50
0,DFS,0.09709438057266936,0.09832396961183855,0.09772705744668249,7882.6,50,1024,50
0,DFS,0.07655336619294954,0.07777554392546206,0.077479440403772,6476.11,50,1024,50
0,DFS,0.08584146652010867,0.08702779468154768,0.08805464699930728,6131.04,50,1024,50
0,DFS,0.13092073340162563,0.13198577019629382,0.13027224272934773,6165.08,50,1024,50
0,DFS,0.06515849518607392,0.06704192851729275,0.06597435256954065,6243.94,50,1024,50
0,DFS,0.05300017835988108,0.05619280096736426,0.0567324053155603,6275.44,50,1024,50
0,DFS,0.06140585467427404,0.06357982043870261,0.06499882519237843,6294.59,50,1024,50
0,DFS,0.07997048880696091,0.08140579390640883,0.08093407595627437,6284.15,50,1024,50
0,DFS,0.083015450031954,0.08444541089904091,0.08379529561627404,6265.46,50,1024,50
0,DFS,0.0955761979698223,0.09684739694705288,0.09605405293366787,6332.14,50,1024,50
0,DFS,0.06435916250785147,0.06620220893871065,0.06554258190680556,6314.8,50,1024,50
0,DFS,0.08384287515427168,0.08512665919795182,0.08559582400090832,6268.84,50,1024,50
0,DFS,0.13041313299738222,0.13120525604224284,0.13181942125277557,6326.0,50,1024,50
0,DFS,0.06203617396133053,0.06437561096434032,0.06321623095813166,6335.08,50,1024,50
