,Model,train_rmse,valid_rmse,24h_pred_rmse,train_time
0,LSTM,0.06590093864019524,0.06507198632929605,0.4429996699463682,11304.71
0,GRU,0.08748052072462746,0.12106577108069648,0.38649026148867227,13117.68
0,LSTM_LSTM,0.06356298763146848,0.0641291058499611,0.38228740972673464,21720.61
0,GRU_GRU,0.06631445933024133,0.06603525189707268,0.4268812655433429,25855.21
0,LSTM_GRU,0.08198761852465954,0.08201048912880606,0.4282952282358836,23954.25
0,GRU_LSTM,0.05985873333840458,0.06193454951816069,0.4992722999190728,23413.77
0,DFS,0.06688082068704423,0.06656219280967209,0.4037691139458508,4346.67
0,CBGRU,0.06554615820413562,0.06696970535206381,0.40543580314860056,7285.64
0,DFS_GRU,0.07029793681143459,0.07021682245385544,0.42338900327809154,4878.28
0,DFS_2LSTM,0.06282851696120781,0.06497958958551903,0.42312867583803626,6651.35
0,CB_2GRU,0.07648812819806951,0.07527268974032153,0.4300639808904197,13127.87
0,CBLSTM,0.06573068113860518,0.06620848886727289,0.4134867389814396,6411.0
