,Batch Size,Learning Rate,Loss Function,Model,batch,epoch,neuron,test_rmse,train_rmse,train_time,valid_rmse
0,1024.0,0.01,mean_squared_error,CBGRU,,,,0.05654302570784568,0.050991664945313646,7132.57,0.05513305253271842
0,1024.0,0.01,mean_absolute_error,CBGRU,,,,0.0572352218768497,0.056354712062003605,7113.35,0.0578026065942201
0,1024.0,0.001,mean_squared_error,CBGRU,,,,0.056918379803817656,0.054774681016658056,7411.06,0.057343055165230764
0,1024.0,0.001,mean_absolute_error,CBGRU,,,,0.05721653026480925,0.055883485136274086,7459.94,0.05780921928987487
0,1024.0,0.0001,mean_squared_error,CBGRU,,,,0.05898416903349734,0.05680009493878467,7337.09,0.05971514488652668
0,1024.0,0.0001,mean_absolute_error,CBGRU,,,,0.05919903711028907,0.057470548669764525,7994.3,0.06018765128328672
0,2048.0,0.01,mean_squared_error,CBGRU,,,,0.05732388653143965,0.05281395974118908,8674.23,0.05747272023403789
0,2048.0,0.01,mean_absolute_error,CBGRU,,,,0.05926624364146043,0.05791955454669862,7739.15,0.06012644984468993
0,2048.0,0.001,mean_squared_error,CBGRU,,,,0.0581344718498818,0.05522452963590131,7427.69,0.05872582902740963
0,2048.0,0.001,mean_absolute_error,CBGRU,,,,0.05926005179800799,0.056547572774966026,7419.91,0.06029348109202196
0,2048.0,0.0001,mean_squared_error,CBGRU,,,,0.05945804629598676,0.0578236283223642,7471.44,0.060387256336171334
0,2048.0,0.0001,mean_absolute_error,CBGRU,,,,0.059790448033997544,0.05821575263607102,7458.24,0.06083319497002771
0,5096.0,0.01,mean_squared_error,CBGRU,,,,0.059507065753236756,0.05589165969880959,12060.26,0.05994785014813242
0,5096.0,0.01,mean_absolute_error,CBGRU,,,,0.0862561500383041,0.08663733363242278,11993.9,0.08815864275596434
0,5096.0,0.001,mean_squared_error,CBGRU,,,,0.05937899471497203,0.056459311485457825,11992.21,0.059952876615606755
0,5096.0,0.001,mean_absolute_error,CBGRU,,,,0.05898487740543707,0.0570008021845422,12102.84,0.05985075739478147
0,5096.0,0.0001,mean_squared_error,CBGRU,,,,0.06217785184304501,0.06052837342157118,11982.0,0.06351127075581492
0,5096.0,0.0001,mean_absolute_error,CBGRU,,,,0.06005466946949861,0.058791298111179446,12002.26,0.06131513917096315
0,10192.0,0.01,mean_squared_error,CBGRU,,,,0.05754555978220542,0.05684750358517114,22637.5,0.05815392218611398
0,10192.0,0.01,mean_absolute_error,CBGRU,,,,0.059296181390921694,0.05724105656725002,22688.77,0.0602590557793137
0,10192.0,0.001,mean_squared_error,CBGRU,,,,0.05953440482035319,0.05741314513195145,22495.47,0.06030627143003414
0,10192.0,0.001,mean_absolute_error,CBGRU,,,,0.059073063898819875,0.057746465978255966,22609.7,0.06001740404393632
0,10192.0,0.0001,mean_squared_error,CBGRU,,,,0.06406025672724852,0.06280681846136034,22596.8,0.06532133148171951
0,10192.0,0.0001,mean_absolute_error,CBGRU,,,,0.06106982749150203,0.06008883694706049,23934.33,0.06223427306751309
